data1_001.mat,mt,0,176,384,7,24,0
data1_001.mat,mt,1,323,488,12,31,0
data1_001.mat,mt,2,164,614,9,24,0
data1_001.mat,mt,3,217,701,8,27,0
data1_001.mat,mt,4,136,710,9,23,0
data1_001.mat,mt,5,527,2294,9,26,0
data1_001.mat,mt,6,613,2228,8,26,0
data1_001.mat,mt,7,490,406,10,23,0
data1_001.mat,mt,8,734,632,10,38,0
data1_001.mat,mt,9,761,750,9,21,0
data1_001.mat,mt,10,850,757,12,24,0
data1_001.mat,mt,11,890,696,7,27,0
data1_001.mat,mt,12,849,565,9,25,0
data1_001.mat,mt,13,1082,505,12,31,0
data1_001.mat,mt,14,1126,487,10,27,0
data1_001.mat,mt,15,1593,467,9,30,0
data1_001.mat,mt,16,761,116,10,23,0
data1_001.mat,mt,17,1974,40,9,21,0
data1_001.mat,mt,18,1929,281,12,32,0
data1_001.mat,mt,19,1975,306,7,20,0
data1_001.mat,mt,20,1765,351,11,21,0
data1_001.mat,mt,21,2038,520,13,36,0
data1_001.mat,mt,22,2225,392,14,23,0
data1_001.mat,mt,23,2474,454,13,33,0
data1_001.mat,mt,24,2706,84,10,29,0
data1_001.mat,mt,25,3233,180,13,20,0
data1_001.mat,mt,26,3111,316,13,24,0
data1_001.mat,mt,27,3373,210,18,34,0
data1_001.mat,mt,28,3431,181,12,24,0
data1_001.mat,mt,29,3758,160,10,24,0
data1_001.mat,mt,30,3618,359,13,19,0
data1_001.mat,mt,31,3658,429,16,23,0
data1_001.mat,mt,32,3692,584,8,21,0
data1_001.mat,mt,33,3867,498,15,31,0
data1_001.mat,mt,34,3871,197,14,28,0
data1_001.mat,mt,35,4068,303,14,31,0
data1_001.mat,mt,36,4120,425,19,27,0
data1_001.mat,mt,37,4098,452,8,34,0
data1_001.mat,mt,38,4666,450,21,36,0
data1_001.mat,mt,39,4066,340,14,18,0
data1_001.mat,mt,40,3445,441,7,27,0
data1_001.mat,mt,42,4604,141,6,19,0
data1_001.mat,mt,43,4668,156,7,17,0
data1_001.mat,mt,44,4894,300,8,23,0
